,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
2125,Maruti Suzuki,Ertiga,2015,"60,000 km",1st,Petrol,ZXI,"₹ 6,75,000"
2126,Toyota,Innova,2006,"960,000 km",3rd,Diesel,2.5 V 7 STR,"₹ 4,40,000"
2127,--,--,--,--,--,--,--,"₹ 3,000"
2128,Tata,Nano,2012,"50,000 km",1st,Petrol,2012-2015 CX,"₹ 1,00,000"
2129,Hyundai,Elite i20,2017,"33,018 km",1st,Petrol,Asta 1.2 (O),"₹ 7,30,000"
2130,Maruti Suzuki,Ertiga,2021,1 km,--,Petrol,LXI,"₹ 9,23,217"
2131,Maruti Suzuki,Eeco,2018,"51,000 km",2nd,Petrol,5 Seater AC,"₹ 4,65,000"
2132,Hyundai,Accent,2010,"72,000 km",1st,Petrol,GLE,"₹ 2,50,000"
2133,Hyundai,Grand i10 Nios,2020,"7,689 km",1st,Petrol,Asta,"₹ 7,50,000"
2134,Audi,A6,2011,"160,000 km",2nd,Diesel,2.0 TDI Design Edition,"₹ 12,20,000"
2135,Maruti Suzuki,800,1996,"64,000 km",2nd,Petrol,AC Uniq,"₹ 35,000"
2136,Toyota,Innova,2015,"74,000 km",2nd,Diesel,2.5 G (Diesel) 7-Seater,"₹ 11,75,000"
2137,Hyundai,Grand i10,2015,"30,449 km",2nd,Petrol,1.2 Kappa Sportz,"₹ 4,80,000"
2138,Hyundai,Grand i10,2015,"39,671 km",1st,Petrol,Sportz 1.2 Kappa VTVT,"₹ 4,75,000"
2139,Hyundai,Verna,2008,"71,000 km",2nd,Diesel,2006-2010 CRDi,"₹ 3,50,000"
2140,Hyundai,Grand i10,2018,"34,000 km",1st,Petrol,1.2 Kappa Sportz Option AT,"₹ 6,45,000"
2141,Honda,Accord,2005,"60,000 km",2nd,Petrol,--,"₹ 3,00,000"
2142,Hyundai,i10,2008,"78,000 km",3rd,Petrol,Magna 1.1L,"₹ 2,35,000"
2143,Maruti Suzuki,Baleno,2020,"21,000 km",1st,Petrol,Zeta Automatic,"₹ 8,10,000"
2144,Hyundai,Santro Xing,2006,"70,889 km",2nd,Petrol,XO,"₹ 1,89,000"
2145,Ford,Figo,2014,"60,000 km",1st,Petrol,1.2P Titanium MT,"₹ 3,65,000"
2146,Maruti Suzuki,Swift Dzire,2017,"79,000 km",1st,Diesel,VDI Optional,"₹ 7,50,000"
2147,Maruti Suzuki,Swift,2017,"90,000 km",1st,Diesel,VDI,"₹ 6,95,000"
2148,Maruti Suzuki,Wagon R,2015,"18,803 km",--,Petrol,VXI AMT,"₹ 4,18,000"
2149,Renault,Duster,2017,"22,743 km",--,Petrol,Others,"₹ 9,35,000"
2150,--,--,--,--,--,--,--,
2151,Maruti Suzuki,SX4,2011,"73,000 km",1st,Diesel,2007-2012 ZDI,"₹ 3,75,000"
2152,Maruti Suzuki,Zen,2003,"80,000 km",2nd,Petrol,Others,"₹ 1,25,000"
2153,Renault,Duster,2013,"120,500 km",1st,Diesel,Adventure Edition RXZ AWD,"₹ 5,95,000"
2154,Maruti Suzuki,Ertiga,2017,"150,000 km",3rd,Diesel,VDI,"₹ 7,00,000"
2155,Maruti Suzuki,Alto 800,2014,"50,000 km",1st,Petrol,2012-2016 LXI,"₹ 2,67,000"
2156,Honda,Brio,2014,"32,000 km",3rd,Petrol,2013-2016 VX O AT,"₹ 6,75,000"
2157,Skoda,Rapid,2016,"55,000 km",1st,Diesel,2013-2016 1.5 TDI AT Elegance,"₹ 6,95,000"
2158,Hyundai,i10,2008,"65,000 km",2nd,Petrol,Magna,"₹ 2,55,000"
2159,Hyundai,EON,2016,"53,000 km",1st,Petrol,D-Lite O,"₹ 3,25,000"
2160,Hyundai,Grand i10,2015,"39,500 km",1st,Petrol,1.2 Kappa Sportz,"₹ 4,95,000"
2161,Toyota,Innova,2008,"187,200 km",4th,Diesel,2.5 G (Diesel) 8 - Seater,"₹ 4,30,000"
2162,Hyundai,i20,2013,"110,000 km",1st,--,2012-2014 Sportz 1.4 CRDi,"₹ 4,50,000"
2163,Hyundai,Santro Xing,2010,"75,000 km",1st,Petrol,GLS,"₹ 2,75,000"
2164,Hyundai,i10,2008,"58,000 km",2nd,Petrol,Magna Automatic,"₹ 2,75,000"
2165,Hyundai,i10,2012,"61,000 km",1st,Petrol,Sportz 1.2 Kappa2,"₹ 3,65,000"
2166,Honda,Civic,2006,"76,000 km",2nd,Petrol,1.8 S MT,"₹ 2,77,000"
2167,Mahindra,Thar,2014,"72,000 km",1st,Diesel,2010-2015 4X4,"₹ 7,75,000"
2168,Audi,A4,2013,"91,000 km",1st,Diesel,2.0 TDI,"₹ 14,75,000"
2169,Hyundai,Santro Xing,2006,"60,000 km",2nd,Petrol,XO,"₹ 2,25,000"
2170,Ford,Fiesta Classic,2015,"89,000 km",1st,Diesel,1.6 SXI Duratec,"₹ 3,99,000"
2171,Renault,Duster,2012,"88,853 km",1st,Diesel,110PS Diesel RxZ,"₹ 5,99,000"
2172,Maruti Suzuki,Wagon R,2016,"33,000 km",1st,Petrol,AMT VXI,"₹ 4,65,000"
2173,Maruti Suzuki,Swift,2007,"171,000 km",3rd,Diesel,2004-2010 Ldi BSIII,"₹ 2,25,000"
2174,Hyundai,Grand i10,2016,"26,245 km",1st,Petrol,2013-2016 Sportz,"₹ 5,50,000"
2175,Honda,City,2005,"113,000 km",3rd,Petrol,2003-2005 1.5 EXI,"₹ 2,40,000"
2176,Honda,Brio,2016,"34,000 km",1st,Petrol,1.2 VX MT,"₹ 4,90,000"
2177,Maruti Suzuki,Swift Dzire,2018,"29,000 km",1st,Diesel,VDI,"₹ 8,25,000"
2178,Maruti Suzuki,SX4,2011,"59,000 km",1st,Petrol,ZXi,"₹ 3,75,000"
2179,Ford,Ecosport,2017,"30,959 km",1st,Diesel,1.5 Diesel Titanium,"₹ 8,25,000"
2180,Hyundai,Santro Xing,2014,"74,000 km",2nd,Petrol,GLS,"₹ 2,65,000"
2181,Toyota,Innova,2015,"151,000 km",2nd,Diesel,2.5 G (Diesel) 7 Seater,"₹ 6,35,000"
2182,Maruti Suzuki,Ritz,2014,"74,841 km",1st,Diesel,VDi,"₹ 4,50,000"
2183,Maruti Suzuki,Swift Dzire Tour,2015,"138,000 km",1st,Diesel,LDI,"₹ 2,65,000"
2184,--,--,--,--,--,--,--,"₹ 1,000"
2185,Toyota,Innova,2012,"197,000 km",2nd,Diesel,2.5 GX (Diesel) 8 Seater BS IV,"₹ 5,35,000"
2186,Maruti Suzuki,Ritz,2015,"167,000 km",3rd,Diesel,VDi,"₹ 2,85,000"
2187,Maruti Suzuki,Swift,2016,"29,000 km",1st,Petrol,LXI,"₹ 5,40,000"
2188,Maruti Suzuki,Swift,2014,"70,000 km",2nd,Diesel,2011-2014 Star VDI,"₹ 4,90,000"
2189,Ford,Ecosport,2013,"85,000 km",2nd,Diesel,1.5 TDCi Trend Plus,"₹ 5,25,000"
2190,Renault,KWID,2017,"50,000 km",1st,Petrol,RXT,"₹ 3,60,000"
2191,Tata,Indica V2,2012,"110,000 km",2nd,Diesel,--,"₹ 1,60,000"
2192,Maruti Suzuki,Swift,2016,"80,000 km",1st,Diesel,--,"₹ 5,90,000"
2193,Maruti Suzuki,Swift Dzire,2011,"78,000 km",1st,Diesel,ZDI,"₹ 4,50,000"
2194,Ford,Fiesta,2007,"157,000 km",3rd,Diesel,2004-2010 1.4 Duratorq ZXI,"₹ 1,95,000"
2195,Toyota,Innova,2014,"121,000 km",2nd,Diesel,2.5 Z Diesel 7 Seater,"₹ 12,00,000"
2196,Toyota,Innova,2010,"200,000 km",3rd,Diesel,2.5 V 7 STR,"₹ 7,50,000"
2197,Hyundai,i20,2015,"106,000 km",2nd,Diesel,1.2 Asta,"₹ 6,25,000"
2198,Hyundai,Santro Xing,2004,"63,000 km",1st,Petrol,XP,"₹ 1,55,000"
2199,Maruti Suzuki,Swift,2006,"74,000 km",2nd,Petrol,2004-2010 1.3 VXi,"₹ 2,40,000"
2200,Maruti Suzuki,Alto,2008,"62,000 km",2nd,Petrol,LXi,"₹ 1,85,000"
2201,Maruti Suzuki,Alto,2006,"150,000 km",3rd,Petrol,LXi,"₹ 1,30,000"
2202,--,--,--,--,--,--,--,"₹ 10,000"
2203,--,--,2004,12 km,--,--,--,"₹ 7,53,000"
2204,Renault,Duster,2020,"15,369 km",1st,Petrol,Petrol RXS,"₹ 10,50,000"
2205,Mitsubishi,Cedia,2008,"87,000 km",1st,Petrol,Sports,"₹ 3,50,000"
2206,Hyundai,Verna,2010,"73,000 km",1st,Diesel,2006-2010 CRDi,"₹ 3,75,000"
2207,Mercedes-Benz,New C-Class,2007,"61,009 km",2nd,Petrol,C 200 Kompressor Elegance AT,"₹ 9,50,000"
2208,Maruti Suzuki,Swift Dzire,2010,"94,000 km",2nd,Diesel,VDI,"₹ 3,49,999"
2209,Hyundai,Grand i10 Nios,2020,"7,689 km",1st,Petrol,Asta,"₹ 7,50,000"
2210,Renault,Duster,2020,"15,369 km",1st,Petrol,RXS,"₹ 10,50,000"
2211,--,--,--,--,--,--,--,"₹ 1,254"
2212,Maruti Suzuki,Swift Dzire,2017,"91,000 km",1st,Diesel,VDI,"₹ 7,10,000"
2213,Maruti Suzuki,Eeco,2017,"54,000 km",1st,Petrol,5 Seater AC,"₹ 3,95,000"
2214,Hyundai,Santro Xing,2011,"73,000 km",1st,Petrol,GLS,"₹ 2,65,000"
2215,Skoda,Rapid,2012,"86,000 km",2nd,Diesel,1.5 TDI Manual active ambition style,"₹ 4,15,000"
2216,Hyundai,Tucson,2017,"67,000 km",2nd,Diesel,2005-2010 CRDi,"₹ 16,45,000"
2217,--,--,--,--,--,--,--,"₹ 1,254"
2218,Renault,Duster,2020,"15,369 km",1st,Petrol,RXS,"₹ 10,50,000"
2219,Maruti Suzuki,Ertiga,2012,"139,000 km",4th,Diesel,VDI,"₹ 4,95,000"
2220,Maruti Suzuki,Zen Estilo,2007,"75,000 km",1st,Petrol,LXI BS IV,"₹ 1,48,000"
2221,Hyundai,Grand i10 Nios,2019,"17,897 km",1st,Petrol,AMT Sportz,"₹ 7,50,000"
2222,--,--,--,--,--,--,--,"₹ 1,254"
2223,Toyota,Innova,2005,"274,000 km",4+,Diesel,2.5 V 7 STR,"₹ 4,10,000"
2224,Hyundai,Getz,2006,"81,000 km",2nd,Petrol,GLS,"₹ 1,55,000"
2225,--,--,--,--,--,--,--,"₹ 1,254"
2226,Maruti Suzuki,Omni,2006,"87,000 km",4th,LPG,5 Seater,"₹ 1,05,000"
2227,Ford,Figo Aspire,2015,"51,500 km",1st,Petrol,1.5 Ti-VCT Titanium,"₹ 5,75,000"
2228,Hyundai,i10,2016,"18,318 km",--,Petrol,--,"₹ 4,25,000"
2229,Maruti Suzuki,Swift Dzire,2016,"20,359 km",--,Petrol,ZXI,"₹ 6,31,000"
2230,Tata,Nano,2014,"12,000 km",1st,Petrol,XT,"₹ 1,68,000"
2231,Maruti Suzuki,Celerio,2017,"45,000 km",1st,Petrol,2014-2017 VXI,"₹ 4,65,000"
2232,Mahindra,Bolero,2017,"136,000 km",2nd,Diesel,ZLX,"₹ 6,50,000"
2233,Volkswagen,Polo,2014,"80,000 km",1st,Diesel,1.5 TDI Highline,"₹ 5,25,000"
2234,Maruti Suzuki,Swift,2006,"86,000 km",2nd,Petrol,VXI,"₹ 2,65,000"
2235,Hyundai,Santro Xing,2013,"58,000 km",2nd,Petrol,GLS,"₹ 3,25,000"
2236,Maruti Suzuki,Swift Dzire,2017,"91,230 km",1st,Diesel,Vdi BSIV,"₹ 7,20,000"
2237,Maruti Suzuki,Celerio,2015,"14,000 km",3rd,Petrol,2014-2017 ZXI,"₹ 4,50,000"
2238,Maruti Suzuki,Wagon R,2004,"47,000 km",1st,Petrol,1999-2006 LXI,"₹ 1,45,000"
2239,Hyundai,Elite i20,2016,"47,000 km",1st,Diesel,Sportz 1.4,"₹ 7,50,000"
2240,Maruti Suzuki,SX4,2010,"57,000 km",1st,Petrol,ZXI Automatic BS-IV,"₹ 3,19,000"
2241,Nissan,Micra,2014,"44,000 km",1st,Petrol,2010-2012 XV,"₹ 3,40,000"
2242,Hyundai,Grand i10,2010,"75,386 km",1st,Petrol,Magna 1.2 Kappa VTVT,"₹ 2,38,000"
2243,Toyota,Innova,2012,"178,000 km",1st,Diesel,2.5 V 8 STR,"₹ 9,90,000"
2244,Volkswagen,Polo,2017,"55,000 km",1st,Petrol,1.2 MPI Comfortline,"₹ 6,75,000"
2245,Maruti Suzuki,Swift,2012,"67,000 km",1st,Diesel,2011-2014 VDI,"₹ 5,10,000"
2246,Honda,Amaze,2014.0,"22,000 km",2nd,Petrol,1.2 SMT I VTEC,"₹ 4,85,000"
2247,Renault,KWID,2019,"11,000 km",1st,Petrol,1.0 RXT AMT,"₹ 4,90,000"
2248,Volkswagen,Polo,2017,"57,000 km",1st,Petrol,1.2 MPI Highline,"₹ 7,50,000"
2249,Hyundai,i20,2011,"56,000 km",3rd,Petrol,1.4 Asta,"₹ 3,49,000"
2250,Hyundai,Verna,2012,"32,000 km",1st,Petrol,2011-2014 1.6 EX VTVT,"₹ 5,35,000"
2251,Eicher Polaris,Others,2004,"338,475 km",1st,Diesel,Others,"₹ 1,50,000"
2252,Chevrolet,Enjoy,2014,"72,000 km",1st,Petrol,1.4 LT 7,"₹ 2,99,000"
2253,Honda,Jazz,2015,"35,037 km",2nd,Petrol,1.2 SV i VTEC,"₹ 5,75,000"
2254,Maruti Suzuki,Vitara Brezza,2018,"55,555 km",1st,Diesel,ZDi Plus,"₹ 11,80,000"
2255,Maruti Suzuki,Alto,2007,"87,000 km",2nd,Petrol,2005-2010 Std BSII,"₹ 1,35,000"
2256,Maruti Suzuki,Alto,2008,"65,000 km",2nd,Petrol,LXi,"₹ 1,95,000"
2257,Hyundai,Grand i10 Nios,2020,"7,689 km",1st,Petrol,Asta,"₹ 7,50,000"
2258,Maruti Suzuki,Alto,2006,"78,000 km",2nd,Petrol,2005-2010 LXi BSIII,"₹ 1,30,000"
2259,Hyundai,Grand i10 Nios,2020,"7,689 km",1st,Petrol,Asta,"₹ 7,50,000"
2260,Maruti Suzuki,800,1997,"89,000 km",3rd,Petrol,DX,"₹ 45,000"
2261,Chevrolet,Spark,2009,"78,552 km",3rd,Petrol,1.0 LS,"₹ 1,18,000"
2262,Hyundai,Grand i10 Nios,2020,"7,689 km",1st,Petrol,Asta,"₹ 7,50,000"
2263,Hyundai,Creta,2020,"12,663 km",1st,Petrol,Others,"₹ 19,00,000"
2264,Hyundai,i10,2008,"100,000 km",2nd,Petrol,1.2 Kappa Magna,"₹ 1,85,000"
2265,Toyota,Corolla Altis,2004,"81,000 km",1st,Petrol,1.8 G,"₹ 2,50,000"
2266,Hyundai,Grand i10 Nios,2019,"17,897 km",1st,Petrol,AMT Sportz,"₹ 7,50,000"
2267,Maruti Suzuki,Ertiga,2017,"38,483 km",1st,Petrol,VXI Limited Edition,"₹ 7,58,080"
2268,Maruti Suzuki,Zen Estilo,2008,"57,000 km",2nd,Petrol,Zen Estilo LXI,"₹ 1,60,000"
2269,Ford,Ecosport,2017,"40,318 km",--,Diesel,--,"₹ 9,43,000"
2270,Nissan,Datsun Redi Go,2016,"32,000 km",1st,Petrol,--,"₹ 3,25,000"
2271,Hyundai,Santro Xing,2010,"43,000 km",1st,Petrol,GLS,"₹ 2,65,000"
2272,Honda,City,2011,"47,000 km",1st,Petrol,2008-2011 1.5 V MT,"₹ 5,30,000"
2273,Maruti Suzuki,Swift,2018,"27,000 km",1st,Petrol,VXI,"₹ 6,45,000"
2274,Maruti Suzuki,Omni,2018,"11,000 km",1st,Petrol,8 Seater BSII,"₹ 3,65,000"
2275,Ford,Figo,2012,"62,000 km",2nd,Diesel,Titanium Diesel,"₹ 3,55,000"
2276,Volkswagen,Ameo,2017,"3,500 km",1st,Petrol,1.2 MPI Highline,"₹ 5,95,000"
2277,Maruti Suzuki,Swift Dzire Tour,2016,"114,000 km",2nd,Diesel,LDI,"₹ 2,85,000"
2278,Mahindra,Xylo,2009,"180,000 km",3rd,Diesel,2009-2011 E4,"₹ 3,50,000"
2279,Maruti Suzuki,Ertiga,2012,"98,000 km",1st,Diesel,VDI,"₹ 5,45,000"
2280,Hyundai,i20,2012,"79,000 km",2nd,Petrol,1.2 Era,"₹ 3,60,000"
2281,Hyundai,Grand i10 Nios,2019,"17,897 km",1st,Petrol,AMT Sportz,"₹ 7,50,000"
2282,Ford,Figo,2012,"76,000 km",2nd,Diesel,1.2P Titanium MT,"₹ 2,68,000"
2283,Tata,Nano,2012,"42,000 km",1st,Petrol,2012-2015 LX,"₹ 82,000"
2284,Maruti Suzuki,Swift,2018,"66,000 km",1st,Petrol,2018 AMT ZXI,"₹ 6,90,000"
2285,--,--,--,--,--,--,--,₹ 700
2286,Toyota,Qualis,2004,"150,000 km",2nd,Diesel,Fleet A1,"₹ 2,20,000"
2287,Hyundai,i20,2010,"110,000 km",1st,Diesel,1.4 Asta,"₹ 4,25,000"
2288,Maruti Suzuki,Wagon R,2018,"11,505 km",1st,Petrol,VXI,"₹ 4,95,000"
2289,Maruti Suzuki,Swift Dzire,2014,"78,731 km",--,Petrol,--,"₹ 5,27,000"
2290,--,--,--,--,--,--,--,"₹ 25,000"
2291,Maruti Suzuki,Zen,2002,"87,000 km",2nd,Petrol,LX,"₹ 83,000"
2292,Chevrolet,Spark,2010,"65,000 km",3rd,Petrol,2007-2012 1.0 LT Option Pack w/ Airbag,"₹ 1,40,000"
2293,Toyota,Innova,2009,"246,000 km",3rd,Diesel,2.5 EV Diesel PS W/O A/C 8,"₹ 7,50,000"
2294,Maruti Suzuki,Swift,2006,"91,000 km",3rd,Petrol,2004-2010 1.3 VXi,"₹ 2,35,000"
2295,Maruti Suzuki,Ritz,2015,"98,000 km",2nd,Diesel,Vdi BS-IV,"₹ 4,20,000"
2296,Maruti Suzuki,Swift Dzire Tour,2016,"102,000 km",1st,Diesel,LDI,"₹ 2,95,000"
2297,Chevrolet,Cruze,2010,"49,000 km",1st,Diesel,2012 LT,"₹ 5,25,000"
2298,Maruti Suzuki,800,2012,"125,000 km",3rd,CNG & Hybrids,AC BSII,"₹ 9,50,000"
2299,Hyundai,Santro,2001,"120,000 km",4th,Petrol,LE,"₹ 62,000"
2300,Maruti Suzuki,Omni,1993,"71,000 km",3rd,Petrol,1984-1998 5 Str STD,"₹ 65,000"
2301,Maruti Suzuki,Vitara Brezza,2019,"11,000 km",2nd,Diesel,ZDi Plus,"₹ 9,80,000"
2302,Maruti Suzuki,Swift,2016,"83,000 km",1st,Petrol,VXi + Manual,"₹ 5,25,000"
2303,Hyundai,i10,2009,"74,000 km",2nd,Petrol,Sportz AT,"₹ 2,95,000"
2304,Maruti Suzuki,Swift,2010,"174,000 km",2nd,Diesel,2011-2014 RS VDI,"₹ 2,75,000"
2305,Renault,KWID,2020,"20,000 km",1st,Petrol,RXL,"₹ 3,95,000"
2306,Mahindra,Scorpio,2015,"78,000 km",1st,Diesel,S10 7 Seater,"₹ 9,85,000"
2307,Hyundai,Elite i20,2016,"27,662 km",--,Petrol,Asta 1.2 (O),"₹ 6,75,000"
2308,Maruti Suzuki,Eeco,2018,"29,127 km",--,Petrol,--,"₹ 4,45,000"
2309,Ford,Endeavour,2012,"93,000 km",2nd,Diesel,2003-2013 Hurricane Limited Edition,"₹ 8,75,000"
2310,Maruti Suzuki,Omni,2017,"50,000 km",4th,Petrol,8 Seater BSIV,"₹ 3,30,000"
2311,Tata,Indica Vista,2014,"20,000 km",2nd,Diesel,TDI LS,"₹ 1,80,000"
2312,Toyota,Etios,2018,"88,000 km",1st,Diesel,Etios GD SP*,"₹ 5,90,000"
2313,Tata,Indica Vista,2009,"78,544 km",2nd,Diesel,Quadrajet LX,"₹ 1,49,000"
2314,Maruti Suzuki,Alto,2007,"61,000 km",3rd,Petrol,LXi,"₹ 1,75,000"
2315,--,--,--,--,--,--,--,--
2316,Tata,Tiago,2021,"8,250 km",1st,Petrol,XZ Plus,"₹ 6,85,000"
2317,Ford,Ecosport,2018,"19,423 km",1st,Petrol,1.5 Petrol Trend,"₹ 10,50,000"
2318,Maruti Suzuki,Ertiga,2019,"47,000 km",1st,Diesel,VDI,"₹ 11,50,000"
2319,Mahindra,Logan,2008,"301,000 km",2nd,Diesel,Diesel 1.5 DLX,"₹ 1,30,000"
2320,Toyota,Qualis,2004,"100,000 km",4+,Diesel,GS G4,"₹ 2,00,000"
2321,--,--,--,--,--,--,--,
2322,Maruti Suzuki,Swift,2006,"125,000 km",3rd,Petrol,2004-2010 1.3 ZXI,"₹ 2,00,000"
2323,--,--,--,--,--,--,--,--
2324,Mahindra,Bolero,2014,"116,000 km",1st,Diesel,ZLX,"₹ 5,75,000"
2325,BMW,3 Series,2012,"68,000 km",2nd,Diesel,320d,"₹ 12,10,000"
2326,Hyundai,Grand i10,2015,"64,587 km",1st,Petrol,Magna 1.2 Kappa VTVT,"₹ 4,85,000"
2327,Maruti Suzuki,Ritz,2011,"80,959 km",2nd,Diesel,VDi,"₹ 4,10,000"
2328,Volkswagen,Polo,2017,"36,596 km",--,Petrol,GT TSI,"₹ 8,00,000"
2329,Mercedes-Benz,GL-Class,2015,"82,000 km",1st,Diesel,350 CDI Blue Efficiency,"₹ 54,75,000"
2330,Toyota,Fortuner,2019,"10,000 km",1st,Diesel,4x4 Manual Limited Edition,"₹ 36,75,000"
2331,Hyundai,Getz Prime,2007,"94,000 km",1st,Petrol,Getz Prime 1.1 GVS,"₹ 2,26,000"
2332,Maruti Suzuki,Swift,2006,"143,000 km",2nd,Petrol,2004-2010 ZXI ABS,"₹ 1,59,000"
2333,Honda,City,2015,"60,000 km",--,--,2014-2015 V MT,"₹ 6,75,000"
2334,Toyota,Innova,2006,"180,000 km",3rd,Diesel,2004-2011 2.5 E Diesel PS 8-Seater,"₹ 4,90,000"
2335,Maruti Suzuki,Omni,2014,"45,000 km",1st,Petrol,8 Seater BSII,"₹ 60,000"
2336,Maruti Suzuki,Zen,2004,"28,500 km",2nd,Petrol,LXI,"₹ 1,65,000"
2337,--,--,--,--,--,--,--,
2338,--,--,--,--,--,--,--,
2339,Tata,Indica Ev2,2012,"193,000 km",1st,Diesel,eV2 LX,"₹ 95,000"
2340,Maruti Suzuki,Swift,2009,"100,002 km",3rd,Petrol,2004-2010 1.3 VXI ABS,"₹ 2,40,000"
2341,Chevrolet,Beat,2010,"64,000 km",1st,Petrol,LT Petrol,"₹ 2,35,000"
2342,--,--,--,--,--,--,--,"₹ 2,500"
2343,Maruti Suzuki,Ritz,2011,"35,000 km",1st,Petrol,VXi,"₹ 3,65,000"
2344,Honda,City,2010,"78,000 km",2nd,Petrol,2008-2011 1.5 V MT,"₹ 3,95,000"
2345,Maruti Suzuki,Swift,2016,"54,000 km",1st,Petrol,VXi + Manual,"₹ 5,86,000"
2346,Maruti Suzuki,Celerio,2016,"14,000 km",3rd,Petrol,2014-2017 VXI AT,"₹ 3,75,000"
2347,Hyundai,Elite i20,2018,"23,000 km",1st,Petrol,Asta 1.2 (O),"₹ 8,50,000"
2348,Toyota,Innova,2007,"115,000 km",2nd,Diesel,2004-2011 2.5 G4 Diesel 8-seater,"₹ 5,85,000"
2349,--,--,--,--,--,--,--,--
2350,Maruti Suzuki,Omni,2018,"35,499 km",1st,LPG,BSIII 8-STR W/ IMMOBILISER,"₹ 85,001"
2351,Hyundai,Santro Xing,2006,"71,000 km",1st,Petrol,XO eRLX - Euro III,"₹ 1,95,000"
2352,Tata,Indica V2 Xeta,2007,"45,000 km",1st,Petrol,1.4 GLS BSIII,"₹ 1,45,000"
2353,Maruti Suzuki,Eeco,2017,"54,000 km",1st,Petrol,5 Seater AC,"₹ 4,00,000"
2354,Ford,Figo,2011,"69,000 km",1st,Diesel,2010-2012 Diesel ZXI,"₹ 2,80,000"
2355,Toyota,Innova,2013,"175,000 km",2nd,Diesel,2.5 V 8 STR,"₹ 10,30,000"
2356,Toyota,Innova,2008,"250,000 km",2nd,Diesel,2.5 V 7 STR,"₹ 6,40,000"
2357,Toyota,Innova,2015,"158,000 km",1st,Diesel,2.5 V 7 STR,"₹ 13,50,000"
2358,Ford,Figo,2011,"132,000 km",3rd,Diesel,Diesel,"₹ 2,10,000"
2359,Chevrolet,Tavera,2010,"300,000 km",2nd,Diesel,Tavera Neo SS D1 8-Str BS-III,"₹ 4,35,000"
2360,Toyota,Innova,2008,"107,000 km",2nd,Diesel,2.5 VX (Diesel) 7 Seater BS IV,"₹ 7,75,000"
2361,Tata,Others,2019,"33,000 km",1st,Diesel,Others,"₹ 4,78,000"
2362,Renault,Duster,2014,"84,000 km",1st,Diesel,110PS Diesel RxL,"₹ 5,45,000"
2363,Honda,City,2018,"85,000 km",1st,Petrol,2015-2017 i VTEC VX Option,"₹ 8,85,000"
2364,Mahindra,Thar,2020,"4,448 km",1st,Diesel,DI 4X4,"₹ 13,95,000"
2365,Honda,City ZX,2008,"90,000 km",2nd,Petrol,GXi,"₹ 2,35,000"
2366,Maruti Suzuki,S Cross,2017,"45,823 km",1st,Diesel,Sigma DDiS 200 SH,"₹ 8,25,000"
2367,Mercedes-Benz,New C-Class,2019,"14,000 km",1st,Diesel,New C-Class,"₹ 48,00,000"
2368,Ford,Fiesta,2007,"79,000 km",2nd,Diesel,2004-2010 1.4 Duratorq EXI,"₹ 1,75,000"
2369,Honda,Civic,2011,"61,181 km",1st,Petrol,1.8 V AT,"₹ 5,25,000"
2370,Maruti Suzuki,Baleno,2016,"54,000 km",2nd,Petrol,1.2 Delta,"₹ 5,60,000"
2371,Toyota,Etios,2011,"120,000 km",1st,Diesel,VXD Limited Edition,"₹ 4,35,000"
2372,Maruti Suzuki,Omni,2005,"19,299 km",3rd,Petrol,Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,"₹ 1,10,000"
2373,Ford,Fiesta Classic,2015,"125,740 km",1st,Diesel,1.4 Duratorq LXI,"₹ 2,38,000"
2374,--,--,--,--,--,--,--,"₹ 3,000"
2375,Mercedes-Benz,GLA,2015,"56,000 km",2nd,Diesel,Others,"₹ 19,75,000"
2376,--,--,--,--,--,--,--,"₹ 12,000"
2377,Hyundai,Santro Xing,2013,"50,000 km",1st,Petrol,GL Plus,"₹ 3,25,000"
2378,Other Brands,Others,2021,680 km,1st,LPG,--,"₹ 2,18,000"
2379,Ford,Ikon,2004,18 km,1st,Petrol,1.6 SXi,"₹ 1,25,000"
2380,Maruti Suzuki,Swift Dzire,2013,"39,000 km",2nd,Diesel,Vdi BSIV,"₹ 4,99,000"
2381,Maruti Suzuki,Omni,2001,"60,000 km",4+,Petrol,Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,"₹ 76,000"
2382,Maruti Suzuki,Esteem,2007,"42,000 km",3rd,Petrol,Vxi - BSII,"₹ 1,60,600"
2383,Hyundai,i10,2011,"94,000 km",3rd,Petrol,Era,"₹ 2,75,000"
2384,Hyundai,i20,2010,"72,000 km",1st,Petrol,Magna Plus,"₹ 3,35,000"
2385,Maruti Suzuki,Swift,2014,"72,000 km",1st,Diesel,VDI BS IV,"₹ 5,40,000"
2386,Mahindra,XUV500,2013,"96,000 km",1st,Diesel,W8 2WD,"₹ 7,95,000"
2387,Jaguar,XF,2015,"38,000 km",1st,Diesel,3.0 Litre S Premium Luxury,"₹ 28,00,000"
2388,Tata,Harrier,2019,"21,000 km",1st,Diesel,XZ,"₹ 16,20,000"
2389,Maruti Suzuki,Ertiga,2021,1 km,--,Petrol,LXI,"₹ 9,23,217"
2390,Honda,Amaze,2019,"6,100 km",2nd,Petrol,S CVT i-VTEC,"₹ 7,00,000"
